Date,Close,XGBoost_Pred,LSTM_Pred,Ensemble_Pred,Error_Pct
2000-10-06,4.5222,4.5305247,4.530524730682373,4.530524587631225,0.18408269495434645
2000-10-09,4.5495,4.552716,4.55271577835083,4.552715826034546,0.07068526287604399
2000-10-10,4.5819,4.622281,4.622281074523926,4.6222809791564945,0.8813151565179164
2000-10-11,4.627,4.633657,4.633656978607178,4.633656930923462,0.14387142691727497
2000-10-12,4.5909,4.593066,4.593066215515137,4.593066167831421,0.047183947187275935
2000-10-13,4.6025,4.6054263,4.60542631149292,4.605426168441772,0.06357780427533015
2000-10-16,4.6439,4.6220737,4.622073650360107,4.622073554992676,0.4700024765245639
2000-10-17,4.6991,4.659116,4.659115791320801,4.659115648269653,0.8508938249951405
2000-10-18,4.7211,4.6746597,4.674659729003906,4.674659776687622,0.9836737902687501
2000-10-19,4.7673,4.699856,4.699855804443359,4.699855852127075,1.4147242227869996
2000-10-20,4.73,4.667697,4.667696952819824,4.667696952819824,1.3171891581432602
2000-10-23,4.7393,4.7035184,4.703518390655518,4.703518342971802,0.7549987767855618
2000-10-24,4.8115,4.807063,4.807063102722168,4.807063150405884,0.09221343851431062
2000-10-25,4.8367,4.8398066,4.83980655670166,4.83980655670166,0.0642288482159264
2000-10-26,4.8974,4.877847,4.877847194671631,4.8778472423553465,0.39924771602592596
2000-10-27,4.8756,4.839538,4.839538097381592,4.839538145065307,0.7396393251024066
2000-10-30,4.9353,4.9083123,4.9083123207092285,4.908312368392944,0.5468285941494061
2000-10-31,4.9733,4.950242,4.950242042541504,4.950242042541504,0.4636349598555516
2000-11-01,4.8811,4.8678465,4.867846488952637,4.867846345901489,0.2715300669625923
2000-11-02,4.8376,4.866887,4.866887092590332,4.866887140274048,0.6054064055326516
2000-11-03,4.8097,4.869727,4.86972713470459,4.869727087020874,1.2480422275999312
2000-11-06,4.865,4.899147,4.899147033691406,4.899146938323975,0.7018897908319579
2000-11-07,4.8269,4.8461976,4.846197605133057,4.846197557449341,0.3997919461629785
2000-11-08,4.7655,4.809787,4.809786796569824,4.809786653518676,0.9293180887352032
2000-11-09,4.777,4.8277774,4.82777738571167,4.827777338027954,1.0629545327183199
2000-11-10,4.8001,4.834539,4.83453893661499,4.834538888931275,0.7174619056118624
2000-11-13,4.8054,4.813432,4.813432216644287,4.813432073593139,0.167146826344105
2000-11-14,4.7994,4.802028,4.802028179168701,4.8020281314849855,0.05475958421855225
2000-11-15,4.8604,4.838084,4.8380842208862305,4.838084173202515,0.4591356019563297
2000-11-16,4.7222,4.7054677,4.705467700958252,4.705467605590821,0.3543347255342697
2000-11-17,4.7291,4.741558,4.741558074951172,4.741558027267456,0.263433365068541
2000-11-20,4.8234,4.797495,4.797494888305664,4.797494792938233,0.5370735800839155
2000-11-21,4.8526,4.8285413,4.828541278839111,4.828541278839111,0.49579032190760575
2000-11-22,4.8839,4.846677,4.846676826477051,4.846676778793335,0.7621618216315762
2000-11-23,4.8039,4.771986,4.77198600769043,4.77198600769043,0.6643350675403303
2000-11-24,4.7703,4.7813344,4.781334400177002,4.781334400177002,0.23131459608414967
2000-11-27,4.7716,4.7809677,4.780967712402344,4.7809676170349125,0.19632024970475687
2000-11-28,4.7533,4.776897,4.776896953582764,4.776896810531616,0.4964300703009604
2000-11-29,4.7368,4.725842,4.725841999053955,4.725841856002807,0.2313406518576342
2000-11-30,4.7315,4.7251606,4.725160598754883,4.725160598754883,0.13398290700870302
2000-12-01,4.6473,4.643094,4.643094062805176,4.643093919754028,0.09050589043041046
2000-12-04,4.6889,4.730192,4.730192184448242,4.730192232131958,0.8806379349518553
2000-12-05,4.6096,4.603614,4.60361385345459,4.603613805770874,0.1298636373899289
2000-12-06,4.7328,4.7695394,4.7695393562316895,4.769539213180542,0.7762680269722261
2000-12-07,4.7163,4.714422,4.714422225952148,4.714422225952148,0.03981455903678611
2000-12-08,4.7504,4.730012,4.730011940002441,4.730011796951294,0.4291891850940209
2000-12-11,4.7103,4.6745787,4.674578666687012,4.674578714370727,0.7583654040989489
2000-12-12,4.7028,4.6664624,4.666462421417236,4.666462326049805,0.7726816779406912
2000-12-13,4.6848,4.683047,4.683046817779541,4.68304672241211,0.037424811899981744
2000-12-14,4.6715,4.6679997,4.667999744415283,4.667999744415283,0.07492787294695029
2000-12-15,4.668,4.6697464,4.669746398925781,4.669746351242066,0.03741112343756337
2000-12-18,4.6056,4.5981536,4.598153591156006,4.5981536388397215,0.16168058798589574
2000-12-19,4.5901,4.6074247,4.607424736022949,4.607424736022949,0.37743700622970294
2000-12-20,4.5316,4.559685,4.559685230255127,4.559685182571411,0.6197630543607388
2000-12-21,4.5029,4.556648,4.556647777557373,4.556647729873657,1.1936247723390938
2000-12-22,4.4523,4.4872823,4.4872822761535645,4.487282228469849,0.785711395679731
2000-12-25,4.5151,4.570127,4.570127010345459,4.570126914978028,1.2187308138917712
2000-12-26,4.564,4.5173583,4.517358303070068,4.517358350753784,1.0219467407146374
2000-12-27,4.5245,4.475458,4.475458145141602,4.47545804977417,1.0839197751316052
2000-12-28,4.5953,4.522297,4.522296905517578,4.52229676246643,1.588650088864049
2000-12-29,4.6201,4.5489793,4.703885555267334,4.595451068878174,0.5335150997126874
2001-01-01,4.5472,4.489361,4.7218146324157715,4.559097003936768,0.2616336192990769
2001-01-02,4.5486,4.525896,4.731463432312012,4.587566328048706,0.8566664039200151
2001-01-03,4.4717,4.4730577,4.735476493835449,4.551783418655395,1.7908942606926876
2001-01-04,4.4003,4.4118996,4.725191593170166,4.505887031555176,2.399541657504628
2001-01-05,4.4244,4.4565825,4.698817729949951,4.529253005981445,2.3698807969768776
2001-01-08,4.5337,4.5455294,4.671319007873535,4.583266162872315,1.0932828125441736
2001-01-09,4.5138,4.499685,4.662825584411621,4.54862699508667,0.7715670850872824
2001-01-10,4.5051,4.5095954,4.662807941436768,4.555559206008911,1.1200463032765375
2001-01-11,4.5242,4.53593,4.665809631347656,4.574893999099731,1.1205074731384734
2001-01-12,4.4511,4.4561305,4.672585487365723,4.521066951751709,1.5719024904340166
2001-01-15,4.3596,4.372341,4.670022964477539,4.461645555496216,2.340709136072475
2001-01-16,4.3749,4.4089017,4.6499223709106445,4.481207942962646,2.429951380892041
2001-01-17,4.3714,4.379052,4.625726699829102,4.453054475784302,1.8679250533993954
2001-01-18,4.4272,4.392543,4.602572441101074,4.455551719665527,0.6403984384154084
2001-01-19,4.3775,4.37194,4.591232776641846,4.4377278804779055,1.3758510674564262
2001-01-22,4.4237,4.425378,4.580751419067383,4.471989917755127,1.091618277801989
2001-01-23,4.4248,4.4281673,4.578619956970215,4.473303127288818,1.0961654151332916
2001-01-24,4.4224,4.4554157,4.581385612487793,4.493206548690796,1.601088745721691
2001-01-25,4.3276,4.310105,4.585927963256836,4.392851781845093,1.5078052926585777
2001-01-26,4.2484,4.2603755,4.577334403991699,4.355463171005249,2.5200821722354108
2001-01-29,4.1723,4.2037272,4.551841735839844,4.30816159248352,3.256275734811022
2001-01-30,4.1623,4.2205935,4.5105204582214355,4.307571458816528,3.490172712599477
2001-01-31,4.1942,4.204815,4.465567111968994,4.283040475845337,2.118174523039834
2001-02-01,4.2392,4.2538595,4.429843425750732,4.306654691696167,1.5912127688282385
2001-02-02,4.3296,4.3410378,4.410529136657715,4.361885070800781,0.7456825295819737
2001-02-05,4.4195,4.3724976,4.415334701538086,4.385348749160767,0.7727401479631955
2001-02-06,4.4928,4.4116826,4.444763660430908,4.421606779098511,1.5846069467033734
2001-02-07,4.4825,4.3852706,4.49313497543335,4.417629766464233,1.4471887012998708
2001-02-08,4.4557,4.406725,4.542900085449219,4.4475775241851805,0.18229404616153982
2001-02-09,4.4327,4.389328,4.582278728485107,4.447213172912598,0.3274115756220366
2001-02-12,4.4829,4.440202,4.607265949249268,4.490321207046509,0.16554478231744466
2001-02-13,4.4319,4.3825417,4.6282877922058105,4.45626540184021,0.5497732764775922
2001-02-14,4.3892,4.403139,4.637139797210693,4.473339366912842,1.9169636132516599
2001-02-15,4.4345,4.462799,4.6322479248046875,4.513633680343628,1.7845006278865312
2001-02-16,4.4386,4.446091,4.627282619476318,4.50044846534729,1.3934228213240647
2001-02-19,4.4831,4.544605,4.6236772537231445,4.568326568603515,1.901063295565902
2001-02-20,4.48,4.518158,4.627533435821533,4.550970458984375,1.584162030901226
2001-02-21,4.4687,4.508698,4.634273529052734,4.546370649337769,1.738103908021769
2001-02-22,4.4315,4.4864144,4.639832496643066,4.532439804077148,2.277779624893339
2001-02-23,4.4042,4.4585547,4.638638496398926,4.512579917907715,2.460830977424152
2001-02-26,4.3334,4.3046265,4.630173206329346,4.402290391921997,1.5897538173719656
2001-02-27,4.3151,4.31677,4.609142780303955,4.404481840133667,2.07137355179873
2001-02-28,4.3633,4.3650327,4.58197546005249,4.430115556716919,1.5313078797451207
2001-03-01,4.4354,4.422815,4.56241512298584,4.464694929122925,0.6604799820292515
